DATE,CUSR0000SAF11
2013-01-01,233.696
2013-02-01,233.526
2013-03-01,233.580
2013-04-01,233.776
2013-05-01,233.184
2013-06-01,233.809
2013-07-01,233.893
2013-08-01,234.073
2013-09-01,234.040
2013-10-01,234.219
2013-11-01,234.144
2013-12-01,234.318
2014-01-01,234.722
2014-02-01,235.781
2014-03-01,237.055
2014-04-01,237.942
2014-05-01,239.611
2014-06-01,239.682
2014-07-01,240.154
2014-08-01,240.692
2014-09-01,241.328
2014-10-01,241.620
2014-11-01,241.912
2014-12-01,242.893
2015-01-01,242.553
2015-02-01,242.598
2015-03-01,241.633
2015-04-01,241.106
2015-05-01,241.107
2015-06-01,241.922
2015-07-01,242.250
2015-08-01,242.864
2015-09-01,243.198
2015-10-01,243.284
2015-11-01,242.606
2015-12-01,241.880
2016-01-01,241.558
2016-02-01,241.741
2016-03-01,240.414
2016-04-01,240.341
2016-05-01,239.348
2016-06-01,238.763
2016-07-01,238.380
2016-08-01,238.133
2016-09-01,237.880
2016-10-01,237.714
2016-11-01,237.438
2016-12-01,237.147
2017-01-01,237.072
2017-02-01,237.824
2017-03-01,238.387
2017-04-01,238.568
2017-05-01,238.893
2017-06-01,238.494
2017-07-01,238.904
2017-08-01,238.804
2017-09-01,238.852
2017-10-01,239.020
2017-11-01,238.940
2017-12-01,239.371
2018-01-01,239.641
2018-02-01,239.160
2018-03-01,239.230
2018-04-01,239.798
2018-05-01,239.148
2018-06-01,239.239
2018-07-01,239.693
2018-08-01,239.941
2018-09-01,239.935
2018-10-01,239.404
2018-11-01,239.990
2018-12-01,240.786
2019-01-01,241.320
2019-02-01,242.077
2019-03-01,242.603
2019-04-01,241.484
2019-05-01,241.969
2019-06-01,241.371
2019-07-01,241.134
2019-08-01,241.014
2019-09-01,241.435
2019-10-01,241.892
2019-11-01,242.474
2019-12-01,242.527
2020-01-01,243.179
2020-02-01,244.115
2020-03-01,245.207
2020-04-01,251.290
2020-05-01,253.635
2020-06-01,254.850
2020-07-01,252.215
2020-08-01,252.148
2020-09-01,251.303
2020-10-01,251.478
2020-11-01,251.241
2020-12-01,252.009
2021-01-01,252.270
2021-02-01,252.828
2021-03-01,253.313
2021-04-01,254.314
2021-05-01,255.314
2021-06-01,257.176
2021-07-01,258.599
2021-08-01,259.544
2021-09-01,262.631
2021-10-01,264.983
2021-11-01,267.303
2021-12-01,268.356
2022-01-01,270.996
2022-02-01,274.747
2022-03-01,278.735
2022-04-01,281.653
2022-05-01,285.711
2022-06-01,288.618
2022-07-01,292.495
2022-08-01,294.684
2022-09-01,296.708
2022-10-01,297.882
