DATE,CUSR0000SAM2
2013-01-01,448.525
2013-02-01,449.885
2013-03-01,451.519
2013-04-01,451.305
2013-05-01,450.850
2013-06-01,453.246
2013-07-01,454.064
2013-08-01,456.679
2013-09-01,457.968
2013-10-01,457.801
2013-11-01,457.634
2013-12-01,458.658
2014-01-01,459.825
2014-02-01,460.879
2014-03-01,462.471
2014-04-01,463.308
2014-05-01,464.149
2014-06-01,464.649
2014-07-01,465.125
2014-08-01,465.546
2014-09-01,466.296
2014-10-01,467.008
2014-11-01,468.507
2014-12-01,469.971
2015-01-01,470.198
2015-02-01,469.241
2015-03-01,471.460
2015-04-01,475.195
2015-05-01,475.984
2015-06-01,475.516
2015-07-01,476.271
2015-08-01,475.865
2015-09-01,477.038
2015-10-01,481.074
2015-11-01,482.778
2015-12-01,483.510
2016-01-01,485.346
2016-02-01,487.562
2016-03-01,488.298
2016-04-01,489.828
2016-05-01,492.258
2016-06-01,493.458
2016-07-01,495.805
2016-08-01,500.060
2016-09-01,500.384
2016-10-01,500.424
2016-11-01,501.489
2016-12-01,502.333
2017-01-01,502.654
2017-02-01,504.188
2017-03-01,504.797
2017-04-01,505.071
2017-05-01,504.887
2017-06-01,505.993
2017-07-01,506.889
2017-08-01,507.840
2017-09-01,509.039
2017-10-01,510.005
2017-11-01,509.686
2017-12-01,510.529
2018-01-01,512.802
2018-02-01,513.416
2018-03-01,515.473
2018-04-01,516.532
2018-05-01,516.696
2018-06-01,518.502
2018-07-01,518.334
2018-08-01,516.968
2018-09-01,519.113
2018-10-01,519.824
2018-11-01,521.908
2018-12-01,524.035
2019-01-01,525.358
2019-02-01,526.053
2019-03-01,527.264
2019-04-01,528.736
2019-05-01,531.206
2019-06-01,533.128
2019-07-01,535.375
2019-08-01,538.890
2019-09-01,541.928
2019-10-01,546.373
2019-11-01,548.824
2019-12-01,550.642
2020-01-01,552.393
2020-02-01,554.015
2020-03-01,556.498
2020-04-01,559.366
2020-05-01,562.387
2020-06-01,564.933
2020-07-01,567.008
2020-08-01,567.367
2020-09-01,568.839
2020-10-01,566.721
2020-11-01,566.477
2020-12-01,565.805
2021-01-01,568.453
2021-02-01,570.819
2021-03-01,571.621
2021-04-01,571.521
2021-05-01,570.912
2021-06-01,570.691
2021-07-01,571.579
2021-08-01,572.969
2021-09-01,573.939
2021-10-01,576.248
2021-11-01,578.237
2021-12-01,580.198
2022-01-01,583.779
