DATE,CUSR0000SETB01
2013-01-01,306.734
2013-02-01,329.253
2013-03-01,310.442
2013-04-01,295.206
2013-05-01,293.131
2013-06-01,298.112
2013-07-01,298.754
2013-08-01,303.409
2013-09-01,297.390
2013-10-01,295.640
2013-11-01,297.183
2013-12-01,303.304
2014-01-01,308.400
2014-02-01,305.007
2014-03-01,300.141
2014-04-01,305.367
2014-05-01,301.296
2014-06-01,302.293
2014-07-01,299.785
2014-08-01,294.803
2014-09-01,287.003
2014-10-01,278.463
2014-11-01,262.282
2014-12-01,238.491
2015-01-01,199.553
2015-02-01,206.901
2015-03-01,214.684
2015-04-01,211.577
2015-05-01,225.281
2015-06-01,230.871
2015-07-01,231.775
2015-08-01,225.725
2015-09-01,201.935
2015-10-01,199.315
2015-11-01,198.984
2015-12-01,190.765
2016-01-01,181.445
2016-02-01,162.727
2016-03-01,175.164
2016-04-01,184.762
2016-05-01,187.627
2016-06-01,196.440
2016-07-01,185.486
2016-08-01,183.715
2016-09-01,189.766
2016-10-01,197.788
2016-11-01,199.220
2016-12-01,206.244
2017-01-01,217.892
2017-02-01,213.626
2017-03-01,210.690
2017-04-01,209.074
2017-05-01,197.848
2017-06-01,195.797
2017-07-01,191.889
2017-08-01,203.585
2017-09-01,228.252
2017-10-01,218.990
2017-11-01,228.908
2017-12-01,228.888
2018-01-01,235.641
2018-02-01,240.400
2018-03-01,234.179
2018-04-01,237.076
2018-05-01,241.533
2018-06-01,243.880
2018-07-01,241.052
2018-08-01,245.227
2018-09-01,249.150
2018-10-01,253.947
2018-11-01,239.900
2018-12-01,223.423
2019-01-01,210.752
2019-02-01,218.146
2019-03-01,233.365
2019-04-01,244.583
2019-05-01,241.074
2019-06-01,231.403
2019-07-01,233.809
2019-08-01,228.391
2019-09-01,228.787
2019-10-01,234.773
2019-11-01,236.587
2019-12-01,240.708
2020-01-01,236.591
2020-02-01,229.980
2020-03-01,209.903
2020-04-01,166.244
2020-05-01,159.902
2020-06-01,177.853
2020-07-01,186.758
2020-08-01,190.327
2020-09-01,193.476
2020-10-01,192.150
2020-11-01,190.381
2020-12-01,203.777
2021-01-01,215.529
2021-02-01,233.202
2021-03-01,257.289
2021-04-01,248.826
2021-05-01,250.257
2021-06-01,258.638
2021-07-01,265.072
2021-08-01,271.710
2021-09-01,274.721
2021-10-01,287.303
2021-11-01,300.351
2021-12-01,304.315
2022-01-01,301.791
2022-02-01,321.849
2022-03-01,380.763
2022-04-01,357.377
2022-05-01,372.063
2022-06-01,413.606
2022-07-01,381.710
2022-08-01,341.383
2022-09-01,324.646
2022-10-01,337.609
