DATE,ECIWAG
2013-01-01,117.4
2013-04-01,118.0
2013-07-01,118.4
2013-10-01,119.1
2014-01-01,119.4
2014-04-01,120.2
2014-07-01,121.1
2014-10-01,121.8
2015-01-01,122.6
2015-04-01,122.8
2015-07-01,123.6
2015-10-01,124.3
2016-01-01,125.1
2016-04-01,126.0
2016-07-01,126.6
2016-10-01,127.3
2017-01-01,128.2
2017-04-01,129.0
2017-07-01,129.9
2017-10-01,130.8
2018-01-01,131.9
2018-04-01,132.8
2018-07-01,134.0
2018-10-01,134.9
2019-01-01,135.8
2019-04-01,136.8
2019-07-01,138.0
2019-10-01,138.9
2020-01-01,140.3
2020-04-01,140.8
2020-07-01,141.6
2020-10-01,142.8
2021-01-01,144.5
2021-04-01,145.8
2021-07-01,148.1
2021-10-01,149.8
2022-01-01,151.7
2022-04-01,154.1
2022-07-01,155.9
