DATE,GEXPND
2013-01-01,5704.61
2013-04-01,5722.833
2013-07-01,5743.347
2013-10-01,5754.859
2014-01-01,5799.275
2014-04-01,5861.485
2014-07-01,5938.887
2014-10-01,5959.021
2015-01-01,5994.746
2015-04-01,6051.429
2015-07-01,6091.065
2015-10-01,6120.844
2016-01-01,6174.097
2016-04-01,6219.774
2016-07-01,6281.676
2016-10-01,6318.015
2017-01-01,6359.651
2017-04-01,6384.019
2017-07-01,6451.44
2017-10-01,6522.283
2018-01-01,6616.141
2018-04-01,6714.007
2018-07-01,6804.833
2018-10-01,6900.348
2019-01-01,7021.257
2019-04-01,7110.273
2019-07-01,7187.328
2019-10-01,7219.111
2020-01-01,7282.096
2020-04-01,10566.752
2020-07-01,9490.917
2020-10-01,8239.984
2021-01-01,10582.222
2021-04-01,9282.256
2021-07-01,8971.618
2021-10-01,8533.098
2022-01-01,8402.624
2022-04-01,8535.823
2022-07-01,8707.12
