DATE,LES1252881800Q
2013-01-01,860
2013-04-01,863
2013-07-01,855
2013-10-01,865
2014-01-01,865
2014-04-01,860
2014-07-01,878
2014-10-01,878
2015-01-01,886
2015-04-01,890
2015-07-01,896
2015-10-01,904
2016-01-01,904
2016-04-01,913
2016-07-01,918
2016-10-01,924
2017-01-01,941
2017-04-01,937
2017-07-01,944
2017-10-01,943
2018-01-01,956
2018-04-01,963
2018-07-01,980
2018-10-01,991
2019-01-01,994
2019-04-01,1004
2019-07-01,1010
2019-10-01,1020
2020-01-01,1056
2020-04-01,1091
2020-07-01,1112
2020-10-01,1069
2021-01-01,1079
2021-04-01,1098
2021-07-01,1108
2021-10-01,1100
2022-01-01,1118
2022-04-01,1148
2022-07-01,1166
